USER_ID	REPORT_ID	STATUS	QUANTITY	SEX	PHASE	METHOD	END
32170464	16212477	2	2	m	5	NA	NA
32260343	16225775	2	3	m	4	indirect	dream
31512496	16228191	2	3	m	4	indirect	outer
31597543	16230493	2	2	m	5	ld	force
32029345	16239974	2	4	w	6	NA	outer
31077387	16269425	2	4	w	4	NA	force
31949573	16275426	2	3	m	3	indirect	force
31972343	16279739	2	4	w	4	ld	fake
31560920	16298530	2	3	w	NA	indirect	outer
30551883	16303419	2	1	m	4	indirect	force
30419794	16307785	2	7	m	4	ld	dream
31500200	16324676	1	3	m	2	ld	force
31930710	16337290	2	2	w	NA	ld	force
30950508	16348014	1	9	w	3	direct	force
31504326	16352440	2	2	w	NA	NA	force
32005960	16400721	2	3	m	3	indirect	force
30557562	16460646	1	8	w	3	indirect	self
31722999	16486916	2	3	m	6	ld	outer
31681055	16488935	1	6	m	3	indirect	dream
31493313	16519125	1	3	w	6	direct	self
31504810	16527661	2	2	m	4	ld	force
32090546	16529071	2	3	m	5	ld	dream
30614319	16540297	2	1	m	NA	indirect	force
31534729	16553545	2	2	w	NA	indirect	force
31041917	16567189	2	7	m	4	ld	dream
31024655	16570880	2	4	m	NA	ld	force
32152344	16571458	2	2	m	4	ld	force
32221417	16574125	2	5	w	4	indirect	force
31495986	16574564	2	1	m	3	indirect	dream
33034127	16606691	2	4	m	3	indirect	dream
31513796	16630998	2	9	w	4	NA	force
32233405	16760701	2	6	m	NA	ld	force
31718429	16772323	2	4	w	5	indirect	force
32621052	16774819	2	6	m	6	indirect	force
32621052	16774819	2	3	m	6	ld	force
31616174	16853996	2	6	m	3	indirect	force
31947900	16962462	2	4	m	3	indirect	dream
30999224	16992096	2	6	w	3	direct	fake
32164641	16995020	1	2	m	5	ld	fake
33095227	17011334	2	1	m	3	ld	force
31948966	17059652	1	1	m	3	indirect	outer
32093216	17073095	2	7	w	4	ld	force
31949394	17216920	2	2	m	6	direct	dream
